"method","class","cint_before","cdisp_before","cint_after","cdisp_after"
"initializeGUI","Core",37,0.972,11,0.909      
"show","AlignPanelController",32,0.968,6,1      
"createNodeTree","PreferencesWindowController",31,0.967,7,0.857  
"saveProject","RealProject",20,0.7,1,1  
"doExternalCommand","RealProject",9,0.78,5,0.8  
"loadSourceFiles","RealProject",16,0.6875,2,1  
"mergeTMX","RealProject",10,0.8,7,0.714    
"projectCreateMED","ProjectUICommands",12,0.666,4,0.75 
"projectOpen","ProjectUICommands",8,0.875,4,1 
"projectEditProperties","ProjectUICommands",12,0.666,0,0 
"projectImportFiles","ProjectUICommands",9,0.777,4,1 
"doWikiImport","ProjectUICommands",9,0.777,3,1     
"EditorController","EditorController",11,0.818,11,0.909 
"replaceEditText","EditorController",9,0.666,5,0.6  
"activateEntry","EditorController",21,0.714,2,1  
"showStat","EditorController",10,0.8,1,1              
"SearchWindowController","SearchWindowController",11,0.818,6,0.833  
"doReplace","SearchWindowController",9,0.66,7,0.714  
"doSearch","SearchWindowController",16,0.812,6,0.833  
"GlossaryTextArea","GlossaryTextArea",10,1,8,1  
"populatePaneMenu","GlossaryTextArea",9,0.88,2,1  
"setFoundResult","GlossaryTextArea",8,0.875,4,1  
"calcPerFile","CalcMatchStatistics",11,0.818,6,1  
"forFile","CalcMatchStatistics",9,0.666,1,1  
"show","AlignFilePickerController",8,1,3,1  
"show","BrowseTaasCollectionsController",11,0.818,7,0.714  
"showCreateGlossaryEntryDialog","GlossaryTextArea",8,0.75,4,1  
"show","PreferencesWindowController",11,0.818 ,2,1  