fungsi,mifun_sblm,mifun_sdh
mergeTMX,109.28,99.75
activateEntry,70.2,157.07
AlignFilePickerController#show,34.28,75.41
AlignPanelController#show,17.52,68.08
BrowseTaasCollectionsController#show,67.18,96.01
calcPerFile,85.39,102.87
createActiveSegmentElement,70.32,92.19
createMenuBar,66.43,98.74
createNodeTree,74.82,82.48
DictionariesTextArea,88.72,95.42
doExternalCommand,85.55,104.66
doReplace,112.84,113.42
doSearch,49.69,91.86
doWikiImport,102.03,120.24
EditorController,58.98,80.81
EntryListPane,71.25,97.74
forFile,86.8,109.96
getMarksForEntry,91.33,100.06
GlossaryTextArea,74.74,98.93
GlossaryTextArea#populatePaneMenu,83.56,106.61
GlossaryTextArea#setFoundResult,98.08,100.22
install,86.32,95.17
loadSourceFiles,82.99,116.46
onEntry,71.47,91.79
PreferencesWindowController#show,43.55,106.84
projectCreateMED,68.8,105.26
projectEditProperties,76.8,110.94
projectImportFiles,102.92,106.75
projectOpen,50.58,99.25
rebaseAndCommitProject,55.16,95.9
replaceEditText,102.9,115.91
runConsoleAlign,81.59,94.45
saveProject,72.64,117.18
SearchWindowController,66.16,95.9
SegmentPropertiesArea,73.18,103.3
selectProjectConsoleMode,91.38,101.77
showCreateGlossaryEntryDialog,59.1,107.66
showStat,78.3,162.67
TaaSPlugin#onApplicationStartup,90.3,97.77